"ITTER107","Territorio","TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITD1","Provincia Autonoma Bolzano / Bozen","3_MMEAL_LUNCH","pasto principale il pranzo","HSC","per 100 persone con le stesse caratteristiche","2021","2021",73.7,,
"ITD1","Provincia Autonoma Bolzano / Bozen","3_MMEAL_LUNCH","pasto principale il pranzo","HSC","per 100 persone con le stesse caratteristiche","2022","2022",66.9,,
"ITD1","Provincia Autonoma Bolzano / Bozen","3_MMEAL_LUNCH","pasto principale il pranzo","HSC","per 100 persone con le stesse caratteristiche","2023","2023",70.6,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","1993","1993",83.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","1994","1994",80.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","1995","1995",80.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","1996","1996",78.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","1997","1997",71.9,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","1998","1998",72.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","1999","1999",73.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2000","2000",69.2,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2001","2001",72.8,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2002","2002",69.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2003","2003",72.7,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2005","2005",68.2,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2006","2006",68.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2007","2007",71.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2008","2008",67.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2009","2009",68.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2010","2010",62.8,,
